['./cordex_db_report.py', 'EUR-11', 'ps', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
| 0  | evaluation |    CLMcom   |      ECMWF-ERAINT     | CCLM4-8-17 |    5    |  3832407317 |
| 1  | evaluation |     DMI     |      ECMWF-ERAINT     |  HIRHAM5   |    6    |  3379746609 |
| 2  | evaluation | IPSL-INERIS |      ECMWF-ERAINT     |  WRF331F   |    5    |  3847060619 |
| 3  | evaluation |     KNMI    |      ECMWF-ERAINT     |  RACMO22E  |    8    |  4366653946 |
| 4  | evaluation |     SMHI    |      ECMWF-ERAINT     |    RCA4    |    7    |  3023619747 |
| 5  | historical |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    12   | 10748319680 |
| 6  | historical |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    12   | 10740764800 |
| 7  | historical |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    12   | 10747271268 |
| 8  | historical |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    11   |  8084090556 |
| 9  | historical | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    7    |  6727952668 |
| 10 | historical |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    12   |  7188725159 |
| 11 | historical |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    8    |  3539068964 |
| 12 | historical |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    8    |  3511734626 |
| 13 | historical |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    8    |  3529770137 |
| 14 | historical |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    8    |  3490316914 |
| 15 | historical |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    8    |  3529598221 |
| 16 |   rcp26    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  9267175442 |
| 17 |   rcp45    |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    19   | 18227875679 |
| 18 |   rcp45    |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    19   | 18188317977 |
| 19 |   rcp45    |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    19   | 18192818659 |
| 20 |   rcp45    |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    19   | 13961461306 |
| 21 |   rcp45    | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    19   | 18246530003 |
| 22 |   rcp45    |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    19   | 12168673173 |
| 23 |   rcp45    |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    19   |  9318654404 |
| 24 |   rcp45    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  9264659720 |
| 25 |   rcp45    |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    19   |  9309006409 |
| 26 |   rcp45    |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    19   |  9099510446 |
| 27 |   rcp45    |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    19   |  9308192720 |
| 28 |   rcp85    |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    19   | 18227698953 |
| 29 |   rcp85    |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    19   | 18184316289 |
| 30 |   rcp85    |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    19   | 18186494340 |
| 31 |   rcp85    |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    19   | 13963856659 |
| 32 |   rcp85    | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    19   | 18246542912 |
| 33 |   rcp85    |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    19   | 12157970110 |
| 34 |   rcp85    |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    19   |  9327096316 |
| 35 |   rcp85    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  9264893377 |
| 36 |   rcp85    |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    19   |  9304057084 |
| 37 |   rcp85    |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    19   |  9103246058 |
| 38 |   rcp85    |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    19   |  9304018701 |
+----+------------+-------------+-----------------------+------------+---------+-------------+
['./cordex_db_report.py', 'EUR-11', 'rsds', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
+----+------------+-------------+-----------------------+------------+---------+-------------+
| 0  | evaluation |    CLMcom   |      ECMWF-ERAINT     | CCLM4-8-17 |    5    |  3637016199 |
| 1  | evaluation |     DMI     |      ECMWF-ERAINT     |  HIRHAM5   |    6    |  2679052754 |
| 2  | evaluation | IPSL-INERIS |      ECMWF-ERAINT     |  WRF331F   |    5    |  3628098336 |
| 3  | evaluation |     KNMI    |      ECMWF-ERAINT     |  RACMO22E  |    8    |  5861650163 |
| 4  | evaluation |     SMHI    |      ECMWF-ERAINT     |    RCA4    |    7    |  3323151750 |
| 5  | historical |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    12   | 10214523907 |
| 6  | historical |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    12   | 10200435460 |
| 7  | historical |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    12   | 10316305332 |
| 8  | historical |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    11   |  6452522515 |
| 9  | historical | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    7    |  6345284369 |
| 10 | historical |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    12   |  9660529117 |
| 11 | historical |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    8    |  3795295318 |
| 12 | historical |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    8    |  3784738865 |
| 13 | historical |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    8    |  3792440464 |
| 14 | historical |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    8    |  3736401290 |
| 15 | historical |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    8    |  3838335927 |
| 16 |   rcp26    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   | 10014192906 |
| 17 |   rcp45    |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    19   | 17339602365 |
| 18 |   rcp45    |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    19   | 17287734304 |
| 19 |   rcp45    |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    19   | 17445849975 |
| 20 |   rcp45    |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    19   | 11107598954 |
| 21 |   rcp45    | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    19   | 17244113085 |
| 22 |   rcp45    |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    19   | 16370599189 |
| 23 |   rcp45    |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    19   | 10038393004 |
| 24 |   rcp45    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   | 10027406245 |
| 25 |   rcp45    |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    19   | 10063292377 |
| 26 |   rcp45    |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    19   |  9812740409 |
| 27 |   rcp45    |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    19   | 10169566136 |
| 28 |   rcp85    |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    19   | 17342067302 |
| 29 |   rcp85    |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    19   | 17281590446 |
| 30 |   rcp85    |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    19   | 17430511275 |
| 31 |   rcp85    |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    19   | 11091691195 |
| 32 |   rcp85    | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    19   | 17257657540 |
| 33 |   rcp85    |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    19   | 16332283181 |
| 34 |   rcp85    |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    19   | 10060474836 |
| 35 |   rcp85    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   | 10055506024 |
| 36 |   rcp85    |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    19   | 10119119706 |
| 37 |   rcp85    |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    19   |  9838447540 |
| 38 |   rcp85    |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    19   | 10213550915 |
+----+------------+-------------+-----------------------+------------+---------+-------------+
